Partition, k = 0.94kF, k = 0.96kF, k = 0.98kF, k = 1.0kF, k = 1.02kF, k = 1.04kF, k = 1.06kF
"(1, 0, 0)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 0, 1)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 0, 2)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 0, 3)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 0, 4)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 1, 0)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 1, 1)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 1, 2)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 1, 3)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 2, 0)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 2, 1)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 2, 2)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
"(1, 3, 0)",0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11,0.0 ± 3.3e-11
