Partition, k = 0.94kF, k = 0.96kF, k = 0.98kF, k = 1.0kF, k = 1.02kF, k = 1.04kF, k = 1.06kF
"(1, 0, 0)",0.417764 ± 6.4e-5,0.411637 ± 6.3e-5,0.405525 ± 6.2e-5,0.399369 ± 6.1e-5,0.393358 ± 6.1e-5,0.387183 ± 6.0e-5,0.381156 ± 5.9e-5
"(1, 0, 1)",0.206848 ± 3.2e-5,0.201293 ± 3.1e-5,0.195794 ± 3.0e-5,0.190322 ± 2.9e-5,0.18493 ± 2.8e-5,0.179548 ± 2.8e-5,0.174268 ± 2.7e-5
"(1, 0, 2)",0.119267 ± 1.8e-5,0.114937 ± 1.8e-5,0.110668 ± 1.7e-5,0.10643 ± 1.6e-5,0.102253 ± 1.6e-5,0.098136 ± 1.5e-5,0.094084 ± 1.5e-5
"(1, 0, 3)",0.07756 ± 1.2e-5,0.074173 ± 1.1e-5,0.070828 ± 1.1e-5,0.067528 ± 1.1e-5,0.0642798 ± 1.0e-5,0.0610782 ± 9.6e-6,0.057963 ± 9.2e-6
"(1, 0, 4)",0.05506 ± 7.7e-6,0.0523426 ± 7.3e-6,0.0496462 ± 7.0e-6,0.0469893 ± 6.6e-6,0.0443808 ± 6.3e-6,0.0418224 ± 5.9e-6,0.039318 ± 5.6e-6
"(1, 1, 0)",0.151879 ± 1.9e-5,0.150389 ± 1.9e-5,0.148868 ± 1.8e-5,0.14731 ± 1.8e-5,0.145717 ± 1.8e-5,0.144098 ± 1.8e-5,0.142474 ± 1.8e-5
"(1, 1, 1)",0.0720855 ± 8.8e-6,0.0710541 ± 8.7e-6,0.069975 ± 8.6e-6,0.0688404 ± 8.4e-6,0.0676848 ± 8.3e-6,0.0664779 ± 8.1e-6,0.065245 ± 8.0e-6
"(1, 1, 2)",0.0422841 ± 4.9e-6,0.0416571 ± 4.8e-6,0.0409664 ± 4.8e-6,0.0402328 ± 4.7e-6,0.0394392 ± 4.6e-6,0.0385976 ± 4.5e-6,0.0377156 ± 4.4e-6
"(1, 1, 3)",0.0288102 ± 3.4e-6,0.0284238 ± 3.4e-6,0.0279738 ± 3.3e-6,0.0274613 ± 3.3e-6,0.0268896 ± 3.2e-6,0.0262609 ± 3.1e-6,0.025581 ± 3.1e-6
"(1, 2, 0)",0.004206 ± 1.6e-5,0.004365 ± 1.6e-5,0.004532 ± 1.6e-5,0.004714 ± 1.6e-5,0.004832 ± 1.6e-5,0.004989 ± 1.6e-5,0.005099 ± 1.5e-5
