Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.06819951901204938,8.674780043765285e-5
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.07948784554836888,9.723627554792104e-5
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.28251047344672714,0.0003347679574276067
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.00577950322943509,0.00020764303498743418
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,200,1.0,2,0.20106694630592079,0.00022831584386833286,0.3291166999481649,0.0006378425851153493
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,201,1.0,2,0.2288089831809623,0.000243594580677588,0.1598930909104606,0.00036824906986201376
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,210,1.0,2,0.033470685573633766,0.00022237575876486078,-0.009336670025904981,0.0005865885419032694
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.17108852036542588,0.00021147243713870182
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,300,1.0,2,-0.5368935761485791,0.0021866024472688506,-0.048655558060926245,0.001415258163281099
-0.0,-0.0,25.0,3,false,false,0.5,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.7379610891617723,0.0009789734283150535
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.07254971809865439,8.782890411449738e-5
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.0790583786217656,9.66778031426584e-5
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.2678291250605571,0.0003336934252608178
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.005258494574211191,0.0001884247255835469
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,200,1.0,2,0.1629292544470541,0.0001813012466399165,0.3004127561612386,0.0006276540464652308
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,201,1.0,2,0.18880485721682624,0.00019532683900519085,0.15473989745837632,0.0003619561192633116
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,210,1.0,2,0.027714099119402827,0.00017000231625248846,0.0035870359434468555,0.0005094773549337426
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.1768052592349944,0.00020228514878502628
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,300,1.0,2,-0.3635763424625364,0.0014393824158530294,-0.026146879626747895,0.00111363946877477
-0.0,-0.0,25.0,3,false,false,0.6,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.7072682375764363,0.0009028801837696503
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.07668580876911874,9.166683833571332e-5
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.07871367295745021,9.772655174480511e-5
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.25607777436884055,0.00030700913296621694
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.005223694495342869,0.00019030760637853326
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,200,1.0,2,0.13644574511785804,0.0001480620299671868,0.2774920827372552,0.000555427144305986
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,201,1.0,2,0.1608328479193093,0.0001635185273714867,0.1500069020764397,0.000338753815926591
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,210,1.0,2,0.023308313789048695,0.0001440600927410235,0.012079845267433137,0.00043589238013234434
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.18176437614552562,0.00022065681476244808
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,300,1.0,2,-0.25611418519198387,0.0010593498781378923,-0.011295666869145425,0.0008857791243615189
-0.0,-0.0,25.0,3,false,false,0.7,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.678975222144034,0.0008495383360029244
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.0797157763073216,0.00010144849865908234
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,111,1.0,2,0.0,3.7513179839879424e-12,0.0781029828550599,9.524539847899939e-5
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,110,1.0,2,0.0,3.7513179839879424e-12,0.24512394294189782,0.0002842471001185216
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,120,1.0,2,0.0,3.7513179839879424e-12,0.005790825875262692,0.00018369904043196407
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,200,1.0,2,0.11611875429539908,0.00012223407953485346,0.2572673777030716,0.000519324891750727
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,201,1.0,2,0.13887888321665062,0.00013989523931305314,0.14544652225801283,0.0002984766457843799
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,210,1.0,2,0.0204279491300603,0.00012004554032326594,0.01693598607620479,0.00040890599655429713
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,101,1.0,2,0.0,3.7513179839879424e-12,0.185096864735655,0.00021839552087315686
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,300,1.0,2,-0.19010350761983327,0.0007356854095546416,-0.0037606197754045576,0.0007595155362355838
-0.0,-0.0,25.0,3,false,false,0.8,1.0,3,100,1.0,2,0.0,3.7513179839879424e-12,0.6546040340586399,0.0008217933453807314
-0.0,-0.0,25.0,3,false,false,0.9,1.0,3,102,1.0,2,0.0,3.7513179839879424e-12,0.0826658908742789,9.222361068954757e-5
