Fa,Fs,beta,dim,isDynamic,isFock,mass2,massratio,order,partition,rs,spin,Σw,Σw.err,μ,μ.err
-0.0,-0.0,25.0,2,false,false,0.1,1.0,2,110,1.0,2,0.0,7.502635967975883e-12,0.09954465502786057,0.0009934586423049545
-0.0,-0.0,25.0,2,false,false,0.1,1.0,2,100,1.0,2,0.0,7.502635967975883e-12,0.19831705170525474,0.0015791270048857906
-0.0,-0.0,25.0,2,false,false,0.1,1.0,2,200,1.0,2,0.006504033991277934,0.00011965567186067626,0.04642147063393696,0.002710880486050713
-0.0,-0.0,25.0,2,false,false,0.1,1.0,2,101,1.0,2,0.0,7.502635967975883e-12,-0.0,2.6666666666666676e-12
-0.0,-0.0,25.0,2,false,false,1.0,1.0,2,110,1.0,2,0.0,7.502635967975883e-12,0.5799585628863481,0.005430223590674042
-0.0,-0.0,25.0,2,false,false,1.0,1.0,2,200,1.0,2,0.2881670565293411,0.0037442394729527134,0.9742013751983594,0.03179654911958982
-0.0,-0.0,25.0,2,false,false,1.0,1.0,2,100,1.0,2,0.0,7.502635967975883e-12,1.2090064089410082,0.008457929765587405
-0.0,-0.0,25.0,2,false,false,1.0,1.0,2,101,1.0,2,0.0,7.502635967975883e-12,-0.0,2.6666666666666676e-12
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,102,1.0,2,0.0,7.502635967975883e-12,-0.0,2.6666666666666676e-12
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,111,1.0,2,0.0,7.502635967975883e-12,-0.0,2.6666666666666676e-12
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,110,1.0,2,0.0,7.502635967975883e-12,0.05123009530382896,0.0010639093963843262
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,120,1.0,2,0.0,7.502635967975883e-12,-0.0005326638933931128,0.0013524030319301728
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,200,1.0,2,0.0016183503667287686,4.90392312676244e-5,0.013227229218288006,0.0010309940186380342
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,201,1.0,2,0.0,7.502635967975883e-12,-0.0,2.6666666666666676e-12
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,210,1.0,2,0.00015237939107108037,6.31608435769643e-5,0.006444194959090905,0.0007811747859460172
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,101,1.0,2,0.0,7.502635967975883e-12,-0.0,2.6666666666666676e-12
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,300,1.0,2,-0.00032183897145148405,4.7088715825833254e-5,0.0005447795568895375,0.0003036357128525023
-0.0,-0.0,25.0,2,false,false,0.05,1.0,3,100,1.0,2,0.0,7.502635967975883e-12,0.10251660783655532,0.0018144326809956689
